metrique,1929,1937,1973-74,1987,2000,2008,2020
credit_gdp_gap,,,-1.1134515487271963,4.14519854163682,0.8222603303019521,2.3568050774267264,-0.8120926631837441
abs_gdp,,,,7.124569269237039,3.6478938840330164,3.646261625249975,-0.05294043110470411
market_debt_share,,,-1.1486645437522516,-0.6569053737681807,1.6607885667663036,0.27615659405420273,1.7984418651047873
sloos_ci,,,,,-0.2140146411945002,-0.0724692405455175,0.08891158807330653
cape,1.886968749080333,0.8095503230823012,0.4577549041371041,-0.24168824591409394,4.818958655181664,1.5791989872070464,1.8537147096796474
buffett,,,0.6908246360820379,-0.40219325289180413,3.7025368825389338,1.98996994054167,2.3059081266488075
courbe_10a3m,,,,,1.0974839010254964,0.994434482582901,1.4474687688090866
m2_yoy,,,2.5402495892691346,0.16661637040844646,0.1938439330002655,-0.11776478737065287,-1.0013241160786694
taux_reel_10a,,,,,,,0.3271686672255283
baa_aaa_spread,,0.4548596265765682,0.26365149362981544,-0.12417264092814863,0.4095307797765756,0.4691391922496517,0.029147020646051847
vix,,,,,,-0.5246915482930502,0.5390192993341166
nfci_leverage,,,,0.25541568617076843,0.37233883969005804,1.1661590626664662,-0.021372271792317966
margin_loans_z1,,,2.0623637347620414,5.3295663135001105e-05,0.08683299501964749,-0.07607856504148951,-0.9647470246766947
current_account_gdp,,,1.0889999631691374,3.0841917987540244,1.7602787013017434,2.0431491724808453,0.5367468960059645
top1_wealth_share,,,,,,1.6733858601644886,1.3793179904054744
net_equity_issuance_gdp,,,-0.49348350205982927,3.2399143588960246,0.46220375693601506,2.9476589748281934,1.7856163962296143
corp_debt_to_profits,,,1.666789823784697,4.649297483894182,1.1992597011868815,-0.12853868850633532,0.3051896017697844
