date,value
1989-07-01,22.8
1989-10-01,23.0
1990-01-01,22.7
1990-04-01,22.9
1990-07-01,22.5
1990-10-01,22.8
1991-01-01,23.200000000000003
1991-04-01,23.1
1991-07-01,23.1
1991-10-01,23.5
1992-01-01,23.4
1992-04-01,23.200000000000003
1992-07-01,23.0
1992-10-01,23.5
1993-01-01,24.0
1993-04-01,24.1
1993-07-01,24.4
1993-10-01,24.9
1994-01-01,25.1
1994-04-01,25.3
1994-07-01,25.6
1994-10-01,26.0
1995-01-01,26.200000000000003
1995-04-01,26.6
1995-07-01,27.3
1995-10-01,27.4
1996-01-01,27.3
1996-04-01,27.3
1996-07-01,27.1
1996-10-01,27.200000000000003
1997-01-01,26.9
1997-04-01,27.3
1997-07-01,27.3
1997-10-01,27.5
1998-01-01,27.8
1998-04-01,27.8
1998-07-01,27.1
1998-10-01,27.7
1999-01-01,27.4
1999-04-01,27.7
1999-07-01,27.3
1999-10-01,27.9
2000-01-01,27.9
2000-04-01,27.5
2000-07-01,27.3
2000-10-01,26.8
2001-01-01,26.1
2001-04-01,26.200000000000003
2001-07-01,25.6
2001-10-01,25.9
2002-01-01,25.8
2002-04-01,25.6
2002-07-01,25.0
2002-10-01,25.1
2003-01-01,24.8
2003-04-01,25.4
2003-07-01,25.5
2003-10-01,26.0
2004-01-01,26.6
2004-04-01,26.6
2004-07-01,26.8
2004-10-01,27.0
2005-01-01,26.9
2005-04-01,27.200000000000003
2005-07-01,27.3
2005-10-01,27.3
2006-01-01,27.9
2006-04-01,27.8
2006-07-01,28.0
2006-10-01,28.2
2007-01-01,28.6
2007-04-01,28.7
2007-07-01,29.0
2007-10-01,28.8
2008-01-01,28.5
2008-04-01,28.4
2008-07-01,28.1
2008-10-01,27.700000000000003
2009-01-01,27.4
2009-04-01,27.6
2009-07-01,28.1
2009-10-01,28.1
2010-01-01,28.3
2010-04-01,28.1
2010-07-01,28.4
2010-10-01,28.8
2011-01-01,29.1
2011-04-01,29.2
2011-07-01,28.7
2011-10-01,29.0
2012-01-01,29.4
2012-04-01,29.4
2012-07-01,29.6
2012-10-01,29.6
2013-01-01,29.8
2013-04-01,29.6
2013-07-01,29.700000000000003
2013-10-01,29.8
2014-01-01,30.0
2014-04-01,30.4
2014-07-01,30.4
2014-10-01,30.6
2015-01-01,30.6
2015-04-01,30.8
2015-07-01,30.5
2015-10-01,30.6
2016-01-01,30.6
2016-04-01,30.8
2016-07-01,30.8
2016-10-01,30.7
2017-01-01,30.7
2017-04-01,30.7
2017-07-01,30.7
2017-10-01,30.8
2018-01-01,30.6
2018-04-01,30.5
2018-07-01,30.700000000000003
2018-10-01,30.0
2019-01-01,30.6
2019-04-01,30.6
2019-07-01,30.4
2019-10-01,30.6
2020-01-01,29.2
2020-04-01,29.9
2020-07-01,30.0
2020-10-01,30.6
2021-01-01,30.7
2021-04-01,30.8
2021-07-01,30.8
2021-10-01,30.9
2022-01-01,30.5
2022-04-01,29.4
2022-07-01,29.5
2022-10-01,29.9
2023-01-01,30.1
2023-04-01,30.1
2023-07-01,29.9
2023-10-01,30.3
2024-01-01,30.6
2024-04-01,30.5
2024-07-01,30.9
2024-10-01,31.0
2025-01-01,30.9
2025-04-01,31.200000000000003
2025-07-01,31.6
2025-10-01,31.8
2026-01-01,31.6
